"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Nashi, Moon's Legacy","UBG","R","1739","44.7%","51.7%","268",""
"Calix, Guided by Fate","WG","M","596","43.6%","51.7%","82",""
"Atraxa's Fall","G","C","2075","19.6%","51.6%","355",""
"Searing Barb","R","C","2706","23.1%","51.6%","409",""
"Arni Metalbrow","R","R","1643","60.2%","51.6%","265",""
"Invasion of Kamigawa","U","U","3167","41.6%","51.5%","487",""
"Heliod, the Radiant Dawn","W","R","1255","63.2%","51.4%","209",""
"Invasion of New Capenna","WB","U","2224","34.6%","51.4%","345",""
"Infected Defector","W","C","2020","19.1%","51.3%","297",""
"Ramosian Greatsword","R","U","2820","29.0%","51.3%","423",""
"Akki Scrapchomper","R","C","2262","15.4%","51.2%","390",""
"Into the Fire","R","R","1121","50.8%","50.9%","189",""
"Open the Way","G","R","803","28.9%","50.9%","139",""
"Invasion of Kylem","WR","U","1080","17.0%","50.9%","182",""
"Tenured Oilcaster","B","C","1962","14.6%","50.7%","309",""
"Trailblazing Historian","R","C","2453","19.6%","50.7%","395",""
"Dina, Soul Steeper","BG","U","1065","16.8%","50.6%","171",""
"Harried Artisan","R","U","4160","57.2%","50.6%","735","47.5%"
"Realmbreaker, the Invasion Tree","","R","1485","56.2%","50.6%","269",""
"Invasion of Ergamon","RG","U","2604","37.1%","50.5%","440",""
"Narset, Enlightened Exile","WUR","M","965","55.4%","50.3%","161",""
"Danitha, New Benalia's Light","WG","R","858","36.9%","50.2%","143",""
"Undercity Upheaval","G","U","1119","16.8%","50.2%","148",""
"Jirina, Dauntless General","WB","R","540","21.3%","50.2%","85",""
"Yedora, Grave Gardener","G","R","620","49.7%","50.2%","92",""
"Djeru and Hazoret","WR","R","1105","50.4%","50.1%","182",""
"Karsus Depthguard","R","C","2013","15.7%","50.1%","335",""
"Invasion of Alara","WUBRG","R","1757","44.0%","50.0%","287",""
"War-Trained Slasher","R","C","2467","20.5%","49.9%","406",""
"Invasion of Shandalar","G","M","734","64.4%","49.9%","102",""
"Burning Sun's Fury","R","C","512","4.0%","49.8%","95",""
"Bonded Herdbeast","G","C","2204","15.4%","49.7%","347",""
"Omnath, Locus of All","WUBRG","R","1257","38.6%","49.6%","222",""
"Copper Host Crusher","G","U","2028","26.3%","49.2%","276",""
"Kiora, Sovereign of the Deep","UG","M","520","32.6%","49.0%","59",""
"Glistening Deluge","B","U","594","6.2%","48.0%","87",""
"Harnessed Snubhorn","W","U","928","18.3%","47.7%","136",""
"Radha, Coalition Warlord","RG","U","654","11.6%","47.7%","104",""
"Feast of the Victorious Dead","WB","U","1587","26.8%","47.5%","270",""
"Invasion of Theros","W","R","362","18.0%","","58",""
"Complete the Circuit","U","R","157","4.8%","","25",""
"Invasion of Arcavios","U","R","133","5.1%","","21",""
"Crystal Carapace","G","C","465","4.4%","","71",""
"Vengeant Earth","G","C","324","2.7%","","43",""
"Yargle and Multani","BG","R","461","22.9%","","71",""
"Deification","W","R","16","0.5%","","1",""
"Spark Rupture","W","R","5","0.1%","","2",""
"Filter Out","U","U","371","4.6%","","49",""
"Training Grounds","U","R","228","7.3%","","42",""
"Reckless Handling","R","U","79","0.9%","","12",""
"Leyline Immersion","G","R","258","9.4%","","37",""
"Campus Renovation","WR","U","325","3.9%","","49",""
"The Kenriths' Royal Funeral","WB","R","159","5.0%","","21",""
"Nahiri, Forged in Fury","WR","M","416","30.0%","","79",""
"Sarkhan, Soul Aflame","UR","M","147","8.9%","","27",""
"Emry, Lurker of the Loch","U","R","139","7.3%","","21",""
"Jin-Gitaxias, Core Augur","U","M","80","12.2%","","9",""
"Seizan, Perverter of Truth","B","R","157","12.8%","","16",""
"Yargle, Glutton of Urborg","B","U","247","4.4%","","34",""
"Urabrask the Hidden","R","M","498","72.3%","","79",""
"Vorinclex, Voice of Hunger","G","M","295","","","48",""
"Aurelia, the Warleader","WR","M","419","64.1%","","58",""
"Firesong and Sunspeaker","WR","R","140","10.2%","","22",""
"Kaheera, the Orphanguard","WG","R","456","36.5%","","84",""
"Niv-Mizzet Reborn","WUBRG","M","381","40.0%","","65",""
